month,macro_entropy_user,macro_js_divergence,delta_entropy,delta_divergence,state
2023-02,0.4505612088663046,,,,Initial
2025-02,0.6829081047004717,,0.23234689583416712,,Transitional
2025-05,1.0815862635847306,0.3382200670708657,0.39867815888425895,,Transitional
2025-06,1.2012666164875827,0.28854481441068,0.11968035290285206,-0.04967525266018574,Transitional
2025-07,1.2002571819764207,0.2588287935053964,-0.0010094345111619774,-0.02971602090528358,Consolidation
2025-08,1.2902871835565088,0.3187142098987416,0.09003000158008811,0.059885416393345214,Exploration
2025-09,1.1288217112187604,0.3383942676333753,-0.16146547233774844,0.019680057734633716,Transitional
2025-10,1.039088231728572,0.3814003582401252,-0.0897334794901885,0.04300609060674987,Transitional
2025-11,1.083692031840315,0.3512153778874032,0.04460380011174303,-0.03018498035272199,Transitional
2025-12,1.2722328850760285,0.3089307943926652,0.18854085323571357,-0.042284583494738015,Transitional
